Well,Enzyme Concentration (uM),Buffer pH,Uric Acid,Inhibitor,Parallel Intensity,Perpendicular Intensity,Polarization,Parallel Intensity,Perpendicular Intensity,Polarization,Parallel Intensity,Perpendicular Intensity,Polarization,A292,Parallel,Perpendicular,Enzyme Concentration (uM),Buffer pH,Uric Acid,Inhibitor,Total F,Polarization,A292 norm
B13,0,7.4,No,old,14737,13901,29,14648,13830,29,14729,13886,29,0.276,14686.95833,13862,0,7.4,False,old,28549,28.9,0.004
B15,0,7.4,No,old,14066,13281,29,14039,13280,28,14023,13257,28,0.279,14024.95833,13262.33333,0,7.4,False,old,27287.3,27.9,0.007
B17,0,7.4,No,old,14301,13480,30,14318,13525,28,14344,13555,28,0.271,14303.29167,13509.66667,0,7.4,False,old,27813,28.5,-0.001
B19,0,7.4,No,old,14822,13948,30,14848,14006,29,14828,13986,29,0.273,14814.95833,13969.66667,0,7.4,False,old,28784.6,29.4,0.001
D13,0,7.4,No,old,14337,13503,30,14268,13471,29,14241,13451,29,0.27,14264.29167,13464.66667,0,7.4,False,old,27729,28.8,-0.002
D15,0,7.4,No,old,13759,12996,29,13728,12979,28,13765,13020,28,0.27,13732.95833,12988,0,7.4,False,old,26721,27.9,-0.002
D17,0,7.4,No,old,13439,12690,29,13465,12724,28,13534,12782,29,0.267,13461.625,12721.66667,0,7.4,False,old,26183.3,28.3,-0.005
D19,0,7.4,No,old,14154,13345,29,14213,13423,29,14256,13478,28,0.265,14189.95833,13405,0,7.4,False,old,27595,28.4,-0.007
J13,0.1,7.4,No,old,12774,12057,29,12823,12120,28,12846,12132,29,0.273,12796.45833,12092.83333,0.1,7.4,False,old,24889.3,28.3,0.001
J15,0.1,7.4,No,old,13199,12440,30,13247,12496,29,13289,12545,29,0.271,13227.125,12483.5,0.1,7.4,False,old,25710.6,28.9,-0.001
J17,0.1,7.4,No,old,12617,11946,27,12737,12046,28,12839,12170,27,0.271,12713.125,12043.83333,0.1,7.4,False,old,24757,27,-0.001
J19,0.1,7.4,No,old,13233,12499,29,13308,12597,27,13334,12617,28,0.272,13273.79167,12560.83333,0.1,7.4,False,old,25834.6,27.6,0
L13,0.1,7.4,No,old,12945,12241,28,12990,12279,28,13033,12320,28,0.269,12971.45833,12269.83333,0.1,7.4,False,old,25241.3,27.8,-0.003
L15,0.1,7.4,No,old,13357,12614,29,13340,12606,28,13389,12662,28,0.269,13344.125,12617.16667,0.1,7.4,False,old,25961.3,28,-0.003
